Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Position
Antonio Candreva,ITA,Salernitana,36,1987,34,2750,81,80.4,30.6,32,83,22,2,40,0,0.47,23,60,-37,-1.21,+0.40,22.3,58.6,-36.3,-1.19,-0.13,MF
Luigi Canotto,ITA,Frosinone,29,1994,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,1,-1,-5.63,-4.99,0.0,0.7,-0.7,-3.67,-3.37,FW
Elio Capradossi,UGA,Cagliari,27,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Gianluca Caprari,ITA,Monza,30,1993,6,285,48,8.3,3.2,4,64,1,2,15,3,0.83,4,5,-1,-0.32,0.00,3.7,5.4,-1.7,-0.55,-0.12,MF
Elia Caprile,ITA,Empoli,21,2001,23,2070,90,60.5,23.0,23,90,23,0,,9,1.04,19,27,-8,-0.35,+0.79,21.2,30.9,-9.7,-0.42,+0.04,GK
Francesco Caputo,ITA,Empoli,35,1987,20,1268,63,37.1,14.1,15,75,4,5,27,6,0.70,8,22,-14,-0.99,-0.53,11.7,20.9,-9.2,-0.65,-0.34,FW
Andrea Carboni,ITA,Monza,22,2001,21,1487,71,43.5,16.5,16,81,10,5,37,9,1.29,17,17,0,0.00,+0.56,17.0,20.5,-3.5,-0.21,+0.41,DF
Franco Carboni,ITA,Monza,20,2003,0,,,,,0,,0,0,,18,,,,,,,,,,,,MF
Valentin Carboni,ARG,Monza,18,2005,31,1169,38,34.2,13.0,10,70,2,21,22,6,1.16,14,20,-6,-0.46,-0.22,14.0,19.0,-4.9,-0.38,+0.09,MF
Marco Carnesecchi,ITA,Atalanta,23,2000,27,2425,90,70.9,26.9,27,90,26,0,,11,1.85,53,30,+23,+0.85,+0.22,41.6,30.5,+11.1,+0.41,-0.09,GK
Nicolò Casale,ITA,Lazio,25,1998,20,1559,78,45.6,17.3,16,85,14,4,49,13,1.50,22,24,-2,-0.12,-0.70,18.4,22.3,-3.9,-0.22,-0.63,DF
Giuseppe Caso,ITA,Frosinone,24,1998,14,417,30,12.2,4.6,2,64,0,12,24,8,0.93,10,10,0,0.00,+0.75,5.5,7.3,-1.8,-0.39,-0.09,FW
Valentín Castellanos,ARG,Lazio,24,1998,35,1682,48,49.2,18.7,16,76,5,19,24,2,1.60,25,15,+10,+0.54,+0.54,22.7,18.0,+4.8,+0.25,+0.27,FW
Samu Castillejo,ESP,Sassuolo,28,1995,17,536,32,15.7,6.0,6,60,0,11,16,8,0.71,8,12,-4,-0.67,+0.20,6.8,8.6,-1.8,-0.29,+0.33,FW
Santiago Castro,ARG,Bologna,18,2004,8,242,30,7.1,2.7,2,76,1,6,15,4,1.50,4,2,+2,+0.74,+0.18,5.2,2.5,+2.7,+1.00,+0.76,FW
Gaetano Castrovilli,ITA,Fiorentina,26,1997,6,367,61,10.7,4.1,5,72,1,1,8,5,2.50,8,7,+1,+0.25,-0.17,6.9,5.3,+1.6,+0.40,+0.34,FW
Danilo Cataldi,ITA,Lazio,28,1994,28,1361,49,39.8,15.1,15,74,3,13,19,9,1.68,19,20,-1,-0.07,-0.55,18.7,18.8,0.0,0.00,-0.20,MF
Denis Cazzadori,ITA,Hellas Verona,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Emil Ceide,NOR,Sassuolo,21,2001,11,176,16,5.1,2.0,0,,0,11,16,27,0.55,0,8,-8,-4.09,-3.43,1.2,5.1,-3.9,-2.01,-1.52,FW
Zeki Çelik,TUR,Roma,26,1997,17,671,39,19.6,7.5,6,78,3,11,19,21,1.59,12,11,+1,+0.13,-0.46,9.6,10.1,-0.5,-0.07,-0.40,DF
Fabien Centonze,FRA,Hellas Verona,27,1996,10,676,68,19.8,7.5,7,85,5,3,27,6,1.10,8,11,-3,-0.40,-0.07,8.0,11.1,-3.1,-0.41,-0.16,DF
Michele Cerofolini,ITA,Frosinone,24,1999,8,675,84,19.7,7.5,7,90,7,1,45,30,1.38,7,11,-4,-0.53,+0.16,8.0,9.7,-1.8,-0.23,+0.10,GK
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Alberto Cerri,ITA,Empoli,27,1996,12,545,45,15.9,6.1,10,52,0,2,13,3,1.58,6,6,0,0.00,+0.78,4.3,8.2,-3.9,-0.64,-0.24,FW
Leonardo Cerri,ITA,Juventus,20,2003,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,-0.61,0.0,0.0,0.0,+0.32,-0.32,DF
Charlys,BRA,Hellas Verona,19,2004,2,25,13,0.7,0.3,0,,0,2,13,32,0.50,0,1,-1,-3.60,-3.28,1.2,1.9,-0.7,-2.40,-2.13,MF
Walid Cheddira,MAR,Frosinone,25,1998,36,2120,59,62.0,23.6,24,80,5,12,18,1,0.89,23,44,-21,-0.89,-0.61,26.8,36.0,-9.2,-0.39,-0.20,FW
Luigi Cherubini,ITA,Roma,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,FW
Federico Chiesa,ITA,Juventus,25,1997,33,2197,67,64.2,24.4,25,79,9,8,29,0,1.76,35,22,+13,+0.53,-0.20,36.7,21.4,+15.3,+0.62,-0.06,FW
Mattia Chiesa,ITA,Hellas Verona,23,2000,0,,,,,0,,0,0,,18,,,,,,,,,,,,GK
Oliver Christensen,DEN,Fiorentina,24,1999,4,360,90,10.5,4.0,4,90,4,0,,24,1.00,8,9,-1,-0.25,-0.72,5.9,6.1,-0.2,-0.04,-0.15,GK
Samuel Chukwueze,NGA,Milan,24,1999,24,1017,42,29.7,11.3,12,67,2,12,18,3,2.08,25,17,+8,+0.71,0.00,22.0,15.4,+6.6,+0.58,+0.05,FW
Aaron Ciammaglichella,ITA,Torino,18,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,,MF
Alphadjo Cissè,ITA,Hellas Verona,16,2006,1,8,8,0.2,0.1,0,,0,1,8,8,1.00,0,0,0,0.00,+0.34,0.1,0.8,-0.8,-8.59,-8.33,FW
Faroukou Cissé,GER,Genoa,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Moustapha Cissé,GUI,Atalanta,19,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,FW
Giorgio Cittadini,ITA,Monza,21,2002,1,15,15,0.4,0.2,0,,0,1,15,15,1.00,0,0,0,0.00,+0.32,0.1,0.3,-0.2,-1.27,-0.83,DF
Giorgio Cittadini,ITA,Genoa,21,2002,5,106,21,3.1,1.2,1,76,0,4,8,10,1.80,3,0,+3,+2.55,+2.63,1.0,1.9,-0.8,-0.71,-0.54,DF
Patrick Ciurria,ITA,Monza,28,1995,22,1598,73,46.7,17.8,18,80,10,4,38,7,1.32,16,20,-4,-0.23,+0.17,16.6,24.9,-8.3,-0.47,-0.05,DF
Massimo Coda,ITA,Genoa,34,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Leonardo Colombo,ITA,Monza,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Lorenzo Colombo,ITA,Monza,21,2002,25,1359,54,39.7,15.1,16,70,3,9,26,11,1.24,16,15,+1,+0.07,+0.63,15.9,18.4,-2.5,-0.17,+0.46,FW
Lorenzo Colombo,ITA,Milan,21,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Matteo Colombo,ITA,Atalanta,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Andrea Colpani,ITA,Monza,24,1999,38,2657,70,77.7,29.5,36,72,6,2,33,0,1.18,28,40,-12,-0.41,-0.41,29.4,43.5,-14.1,-0.48,-0.16,MF
Pietro Comi,ITA,Atalanta,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,DF
Pietro Comuzzo,ITA,Fiorentina,18,2005,4,43,11,1.3,0.5,0,,0,4,11,28,3.00,2,0,+2,+4.19,+3.84,1.8,0.6,+1.2,+2.55,+2.49,DF
Andrea Consigli,ITA,Sassuolo,36,1987,35,3150,90,92.1,35.0,35,90,35,0,,0,0.74,36,68,-32,-0.91,-0.91,35.9,56.6,-20.7,-0.59,-0.24,GK
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Nikita Contini Baranovsky,ITA,Napoli,27,1996,1,17,17,0.5,0.2,0,,0,1,17,34,1.00,0,0,0,0.00,-0.19,0.3,0.1,+0.2,+1.12,+0.51,GK
Diego Coppola,ITA,Hellas Verona,19,2003,24,1634,68,47.8,18.2,18,87,14,6,11,13,1.21,22,25,-3,-0.17,+0.34,18.4,25.1,-6.7,-0.37,-0.17,DF
Tommaso Corazza,ITA,Bologna,19,2004,9,195,22,5.7,2.2,1,67,0,8,16,26,1.44,4,1,+3,+1.38,+0.85,4.6,3.1,+1.5,+0.69,+0.43,DF
Jeppe Corfitzen,DEN,Lecce,18,2004,1,9,9,0.3,0.1,0,,0,1,9,8,0.00,0,2,-2,-20.00,-19.47,0.0,1.0,-0.9,-9.35,-9.10,FW
Giacomo Corona,ITA,Empoli,19,2004,1,5,5,0.1,0.1,0,,0,1,5,1,0.00,0,0,0,0.00,+0.66,0.1,0.0,+0.1,+1.79,+2.23,FW
Christian Corradi,ITA,Hellas Verona,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,DF
Joaquín Correa,ARG,Inter,28,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Alessandro Cortinovis,ITA,Atalanta,22,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
João Costa,BRA,Roma,18,2005,3,14,5,0.4,0.2,0,,0,3,5,17,0.00,0,1,-1,-6.43,-6.96,0.4,0.8,-0.4,-2.56,-2.83,MF
Benoît Costil,FRA,Salernitana,36,1987,13,1170,90,34.2,13.0,13,90,13,0,,25,0.69,13,29,-16,-1.23,+0.09,13.5,23.8,-10.3,-0.79,+0.56,GK
Larsson Coulibaly,CIV,Lazio,20,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Lassana Coulibaly,MLI,Salernitana,27,1996,28,2082,74,60.9,23.1,25,81,17,3,18,0,0.54,23,51,-28,-1.21,+0.20,19.2,46.8,-27.6,-1.19,-0.08,MF
Mamadou Coulibaly,SEN,Salernitana,24,1999,1,3,3,0.1,0.0,0,,0,1,3,1,1.00,0,0,0,0.00,+1.29,0.0,0.0,0.0,-0.55,+0.62,DF
Alessio Cragno,ITA,Sassuolo,29,1994,3,270,90,7.9,3.0,3,90,3,0,,34,1.33,7,7,0,0.00,+0.91,4.0,5.0,-1.1,-0.36,+0.24,GK
Gian Crespi,ITA,Juventus,22,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,GK
Bryan Cristante,ITA,Roma,28,1995,37,3289,89,96.2,36.5,37,89,34,0,,0,1.62,63,44,+19,+0.52,+0.52,49.8,39.7,+10.1,+0.28,+0.67,MF
Juan Cruz,ARG,Hellas Verona,24,1999,4,109,27,3.2,1.2,1,57,0,3,17,15,0.50,0,0,0,0.00,+0.35,0.5,0.7,-0.2,-0.20,+0.08,FW
Juan Cuadrado,COL,Inter,35,1988,10,267,27,7.8,3.0,0,,0,10,27,5,2.10,8,0,+8,+2.70,+1.01,6.2,2.7,+3.5,+1.19,-0.05,DF
Marvin Cuni,ALB,Frosinone,22,2001,22,534,24,15.6,5.9,6,63,0,16,10,9,0.86,8,7,+1,+0.17,+0.98,7.8,10.4,-2.5,-0.43,-0.13,FW
Francesco D'Alessio,ITA,Roma,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Danilo D'Ambrosio,ITA,Monza,34,1988,24,1536,64,44.9,17.1,16,83,10,8,27,5,1.13,18,20,-2,-0.12,+0.36,18.4,24.7,-6.3,-0.37,+0.13,DF
Luigi D'Avino,ITA,Napoli,17,2005,0,,,,,0,,0,0,,14,,,,,,,,,,,,DF
Giovanni Daffara,ITA,Juventus,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,GK
Christian Dalle Mura,ITA,Fiorentina,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Maat Daniel Caprini,ITA,Fiorentina,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Flavius Daniliuc,AUT,Salernitana,22,2001,14,744,53,21.8,8.3,8,76,4,6,22,3,0.36,7,19,-12,-1.45,-0.21,7.9,17.1,-9.2,-1.11,+0.07,DF
Danilo,BRA,Juventus,32,1991,29,2452,85,71.7,27.2,27,90,27,2,11,1,1.83,41,22,+19,+0.70,+0.33,36.5,22.2,+14.3,+0.53,-0.43,DF
Matteo Darmian,ITA,Inter,33,1989,33,2404,73,70.3,26.7,27,81,14,6,36,5,2.61,62,15,+47,+1.76,-0.01,56.0,21.8,+34.2,+1.28,+0.13,DF
Juan David Cabal,COL,Hellas Verona,22,2001,22,1497,68,43.8,16.6,17,85,11,5,10,8,0.95,18,21,-3,-0.18,+0.29,18.6,22.1,-3.6,-0.21,+0.12,DF
Keinan Davis,ENG,Udinese,25,1998,8,186,23,5.4,2.1,0,,0,8,23,6,1.50,4,2,+2,+0.97,+1.47,2.6,2.2,+0.4,+0.17,+0.46,FW
Paweł Dawidowicz,POL,Hellas Verona,28,1995,28,2143,77,62.7,23.8,25,84,21,3,15,2,1.00,20,31,-11,-0.46,-0.32,21.3,29.9,-8.6,-0.36,-0.22,DF
Charles De Ketelaere,BEL,Atalanta,22,2001,35,2026,58,59.2,22.5,25,68,1,10,33,1,1.77,48,27,+21,+0.93,+0.35,36.0,23.9,+12.2,+0.54,+0.25,FW
Mattia De Sciglio,ITA,Juventus,30,1992,1,45,45,1.3,0.5,1,45,0,0,,6,0.00,0,0,0,0.00,-0.61,0.2,0.6,-0.4,-0.88,-1.55,DF
Lorenzo De Silvestri,ITA,Bologna,35,1988,15,674,45,19.7,7.5,7,70,0,8,23,20,1.87,11,7,+4,+0.53,-0.06,8.1,9.7,-1.6,-0.22,-0.63,DF
Koni De Winter,BEL,Genoa,21,2002,29,2380,82,69.6,26.4,26,86,22,3,44,5,1.31,33,29,+4,+0.15,+0.50,27.3,31.2,-3.9,-0.15,+0.13,DF
Grégoire Defrel,MTQ,Sassuolo,32,1991,20,757,38,22.1,8.4,7,72,0,13,20,6,0.80,8,15,-7,-0.83,+0.01,8.7,13.1,-4.4,-0.52,+0.07,FW
Alessandro Deiola,ITA,Cagliari,27,1995,27,1608,60,47.0,17.9,19,79,10,8,14,10,1.04,15,29,-14,-0.78,-0.19,20.9,22.5,-1.6,-0.09,+0.41,MF
Tommaso Del Lungo,ITA,Atalanta,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Alessandro Dellavalle,ITA,Torino,19,2004,1,15,15,0.4,0.2,0,,0,1,15,3,3.00,2,0,+2,+12.00,+12.05,0.4,0.1,+0.3,+1.67,+1.67,DF
Ali Dembélé,FRA,Torino,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Diego Demme,GER,Napoli,31,1991,2,73,37,2.1,0.8,1,59,0,1,14,13,2.00,1,0,+1,+1.23,+1.07,0.8,0.1,+0.6,+0.77,+0.16,MF
Leander Dendoncker,BEL,Napoli,28,1995,3,24,8,0.7,0.3,0,,0,3,8,13,2.33,1,0,+1,+3.75,+3.59,0.2,0.1,+0.1,+0.35,-0.26,MF
Kastriot Dermaku,ALB,Lecce,31,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,,DF
Jacopo Desogus,ITA,Cagliari,20,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,FW
Mattia Destro,ITA,Empoli,32,1991,15,366,24,10.7,4.1,3,54,0,12,17,15,0.67,4,9,-5,-1.23,-0.64,4.4,6.7,-2.2,-0.55,-0.12,FW
Federico Di Francesco,ITA,Lecce,29,1994,2,15,8,0.4,0.2,0,,0,2,8,0,2.00,2,0,+2,+12.00,+12.63,0.2,0.6,-0.4,-2.17,-1.91,FW
Raffaele Di Gennaro,ITA,Inter,29,1993,1,23,23,0.7,0.3,0,,0,1,23,36,1.00,0,0,0,0.00,-1.78,0.9,0.4,+0.5,+2.11,+0.87,GK
Michele Di Gregorio,ITA,Monza,26,1997,33,2872,87,84.0,31.9,33,87,31,0,,1,1.33,31,35,-4,-0.13,+1.19,31.4,44.7,-13.3,-0.42,+0.15,GK
Giovanni Di Lorenzo,ITA,Napoli,29,1993,36,3234,90,94.6,35.9,36,90,35,0,,0,1.42,52,45,+7,+0.19,+0.19,58.8,36.9,+21.8,+0.61,+0.04,DF
Alessandro Di Pardo,ITA,Cagliari,24,1999,15,359,24,10.5,4.0,2,61,0,13,18,18,0.73,2,10,-8,-2.01,-1.48,3.7,7.4,-3.7,-0.93,-0.70,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Rocco Di Vico,ITA,Salernitana,16,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Boulaye Dia,SEN,Salernitana,26,1996,17,1143,67,33.4,12.7,12,83,8,5,29,1,0.35,9,30,-21,-1.65,-0.55,10.0,25.0,-15.0,-1.18,-0.03,FW
Siren Diao,ESP,Hellas Verona,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Siren Diao,ESP,Atalanta,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Sekou Diawara,BEL,Udinese,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Federico Dimarco,ITA,Inter,25,1997,30,2077,69,60.7,23.1,29,71,1,1,19,6,2.50,54,17,+37,+1.60,-0.41,46.7,19.3,+27.4,+1.19,-0.13,DF
Tiago Djaló,POR,Juventus,23,2000,1,17,17,0.5,0.2,0,,0,1,17,15,3.00,0,0,0,0.00,-0.61,0.0,0.2,-0.2,-0.96,-1.61,DF
Koffi Djidji,CIV,Torino,30,1992,13,759,58,22.2,8.4,8,83,4,5,18,4,1.38,10,8,+2,+0.24,+0.30,8.9,6.1,+2.8,+0.34,+0.42,DF
Berat Djimsiti,ALB,Atalanta,30,1993,37,2832,77,82.8,31.5,32,85,28,5,21,1,1.86,60,32,+28,+0.89,+0.58,48.4,33.3,+15.1,+0.48,+0.24,DF
Dodô,BRA,Fiorentina,24,1998,9,523,58,15.3,5.8,7,72,4,2,9,8,1.56,10,14,-4,-0.69,-1.28,6.7,11.3,-4.6,-0.79,-1.04,DF
Josh Doig,SCO,Hellas Verona,21,2002,12,830,69,24.3,9.2,11,71,2,1,45,4,1.08,9,12,-3,-0.33,+0.02,5.9,11.6,-5.6,-0.61,-0.44,DF
Josh Doig,SCO,Sassuolo,21,2002,16,1343,84,39.3,14.9,15,87,11,1,45,1,0.63,14,32,-18,-1.21,-0.60,13.8,23.8,-10.0,-0.67,-0.16,DF
Nicolás Domínguez,ARG,Bologna,25,1998,2,102,51,3.0,1.1,1,71,0,1,31,0,0.50,0,3,-3,-2.65,-3.33,1.0,0.9,+0.1,+0.07,-0.22,MF
Giulio Donati,ITA,Monza,33,1990,4,36,9,1.1,0.4,0,,0,4,9,28,0.80,5,6,-1,-2.50,-2.21,0.9,0.9,0.0,-0.01,+0.43,DF
Patrick Dorgu,DEN,Lecce,18,2004,32,1564,49,45.7,17.4,17,71,4,15,24,4,1.06,14,20,-6,-0.35,+0.43,18.8,23.9,-5.1,-0.29,-0.04,DF
Alberto Dossena,ITA,Cagliari,24,1998,35,2977,85,87.0,33.1,33,88,30,2,34,1,1.00,36,51,-15,-0.45,+1.78,36.5,43.5,-7.0,-0.21,+0.72,DF
Radu Drăgușin,ROU,Genoa,21,2002,19,1710,90,50.0,19.0,19,90,19,0,,0,1.11,20,24,-4,-0.21,-0.42,15.8,19.0,-3.2,-0.17,+0.04,DF
Ondrej Duda,SVK,Hellas Verona,28,1994,32,2456,77,71.8,27.3,29,83,16,3,20,1,1.13,31,36,-5,-0.18,+0.56,26.1,32.9,-6.7,-0.25,+0.12,MF
Denzel Dumfries,NED,Inter,27,1996,31,1639,53,47.9,18.2,19,72,5,12,23,3,2.35,46,13,+33,+1.81,+0.09,36.6,14.0,+22.6,+1.24,+0.01,DF
Alfred Duncan,GHA,Fiorentina,30,1993,30,1888,63,55.2,21.0,24,75,6,6,16,7,1.63,35,25,+10,+0.48,+0.18,29.5,23.9,+5.5,+0.26,+0.38,MF
Paulo Dybala,ARG,Roma,29,1993,28,1959,70,57.3,21.8,25,75,7,3,24,1,1.79,45,27,+18,+0.83,+0.77,32.8,21.8,+11.0,+0.51,+0.59,FW
Festy Ebosele,IRL,Udinese,20,2002,31,1700,55,49.7,18.9,20,70,4,11,27,6,0.90,20,29,-9,-0.48,-0.11,22.0,24.8,-2.8,-0.15,+0.23,DF
Enzo Ebosse,CMR,Udinese,24,1999,1,8,8,0.2,0.1,0,,0,1,8,0,1.00,0,0,0,0.00,+0.42,0.1,0.4,-0.3,-3.61,-3.36,DF
Tyronne Ebuehi,NGA,Empoli,27,1995,15,1099,73,32.1,12.2,11,84,10,4,43,7,0.80,5,15,-10,-0.82,-0.24,11.8,17.9,-6.1,-0.50,-0.09,DF
Éderson,BRA,Atalanta,24,1999,36,2869,80,83.9,31.9,32,85,24,4,38,1,1.75,54,38,+16,+0.50,-1.78,44.5,34.4,+10.1,+0.32,-0.76,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Kingsley Ehizibue,NED,Udinese,28,1995,23,955,42,27.9,10.6,11,63,0,12,22,1,0.87,9,15,-6,-0.57,-0.20,8.9,13.9,-5.0,-0.47,-0.29,DF
Victor Ehuwa Eletu,NGA,Milan,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Emmanuel Ekong,SWE,Empoli,21,2002,1,5,5,0.1,0.1,0,,0,1,5,0,0.00,0,0,0,0.00,+0.66,0.0,0.1,-0.1,-1.71,-1.28,FW
Caleb Ekuban,GHA,Genoa,29,1994,29,1131,39,33.1,12.6,10,70,1,19,22,2,1.28,15,15,0,0.00,0.00,14.0,16.9,-2.8,-0.23,-0.06,FW
Emanuele Elia,ITA,Salernitana,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Elif Elmas,MKD,Napoli,23,1999,11,339,31,9.9,3.8,4,54,0,7,17,3,1.64,3,5,-2,-0.53,-0.79,3.3,4.8,-1.4,-0.39,-1.10,FW
Martin Erlic,CRO,Sassuolo,25,1998,32,2618,82,76.5,29.1,31,83,22,1,45,3,0.91,38,47,-9,-0.31,+2.27,32.6,41.5,-8.9,-0.31,+1.13,DF
Sebastian Esposito,AUS,Lecce,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,DF
Giovanni Fabbian,ITA,Bologna,20,2003,27,1057,39,30.9,11.7,11,73,2,16,16,11,2.00,17,12,+5,+0.43,-0.22,16.7,12.5,+4.2,+0.36,+0.10,MF
Nicolò Fagioli,ITA,Juventus,22,2001,8,437,55,12.8,4.9,4,74,0,4,36,2,1.88,8,4,+4,+0.82,+0.25,5.1,3.4,+1.7,+0.35,-0.35,MF
Matteo Falasca,ITA,Sassuolo,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Wladimiro Falcone,ITA,Lecce,28,1995,38,3420,90,100.0,38.0,38,90,38,0,,0,1.00,32,54,-22,-0.58,,43.1,53.3,-10.2,-0.27,,GK
Davide Faraoni,ITA,Hellas Verona,31,1991,11,602,55,17.6,6.7,7,69,1,4,30,3,0.45,3,11,-8,-1.20,-1.04,4.6,8.3,-3.8,-0.56,-0.34,DF
