Player,Nation,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Position
Paul Pogba,FRA,Juventus,31,1993,0.6,0,0,0,3,1,0,1,1,1,0,0,0,4,1,0,100.0,MF
Matteo Politano,ITA,Napoli,30,1993,23.2,2,1,0,11,36,2,117,11,8,1,0,0,81,3,11,21.4,FW
Marin Pongračić,CRO,Lecce,26,1997,31.8,10,1,1,51,18,0,1,43,27,0,0,0,155,51,35,59.3,DF
Stefan Posch,AUT,Bologna,26,1997,23.8,7,0,0,29,10,1,36,14,41,0,0,0,98,32,26,55.2,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Matteo Prati,ITA,Cagliari,20,2003,18.6,4,0,0,17,5,0,15,12,22,0,0,0,102,7,11,38.9,MF
Ivan Provedel,ITA,Lazio,30,1994,28.0,0,0,0,0,7,0,0,0,0,0,0,0,35,3,0,100.0,GK
Christian Pulisic,USA,Milan,25,1998,24.9,2,0,0,19,39,4,88,10,26,0,0,0,87,14,25,35.9,FW
George Pușcaș,ROU,Genoa,28,1996,2.1,0,0,0,1,0,0,0,0,0,0,0,0,9,12,8,60.0,FW
Domingos Quina,POR,Udinese,24,1999,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,MF
Adrien Rabiot,FRA,Juventus,29,1995,26.7,6,0,0,37,33,5,39,25,34,0,0,0,136,48,32,60.0,MF
Uroš Račić,SRB,Sassuolo,26,1998,8.2,1,0,0,4,10,0,2,7,3,0,0,0,48,9,9,50.0,MF
Nemanja Radonjić,SRB,Torino,28,1996,4.2,1,0,0,1,5,4,11,0,1,0,0,0,13,0,5,0.0,MF
Boris Radunović,SRB,Cagliari,27,1996,7.0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,1,50.0,GK
Hamza Rafia,TUN,Lecce,25,1999,12.3,4,0,0,31,32,2,32,11,28,0,0,1,65,8,19,29.6,MF
Ylber Ramadani,ALB,Lecce,28,1996,29.3,12,0,0,36,30,0,9,42,35,0,1,0,205,24,24,50.0,MF
Luca Ranieri,ITA,Fiorentina,25,1999,19.9,13,0,0,28,10,0,11,27,6,0,0,0,91,35,33,51.5,DF
Filippo Ranocchia,ITA,Empoli,22,2001,5.3,3,0,0,11,8,0,10,3,11,0,0,0,16,6,4,60.0,MF
Giacomo Raspadori,ITA,Napoli,24,2000,16.7,0,0,0,13,17,5,58,3,10,0,0,0,52,7,18,28.0,FW
Federico Ravaglia,ITA,Bologna,24,1999,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,GK
Tijjani Reijnders,NED,Milan,25,1998,27.3,7,0,0,17,18,1,36,14,23,0,0,0,117,6,16,27.3,MF
Reinier,BRA,Frosinone,22,2002,10.9,3,0,0,16,9,1,10,10,10,0,0,0,51,7,17,29.2,MF
Mateo Retegui,ITA,Genoa,25,1999,20.7,5,0,0,31,17,4,17,0,9,0,0,0,52,53,51,51.0,FW
Samuele Ricci,ITA,Torino,22,2001,22.6,7,1,1,31,36,3,52,20,13,1,0,0,111,13,21,38.2,MF
Ricardo Rodríguez,SUI,Torino,31,1992,28.5,3,0,0,24,9,1,53,22,23,0,0,0,103,38,29,56.7,DF
Alessio Romagnoli,ITA,Lazio,29,1995,23.8,7,0,0,28,16,0,1,21,14,0,0,0,113,64,47,57.7,DF
Simone Romagnoli,ITA,Frosinone,34,1990,27.4,6,0,0,21,5,0,1,28,14,0,0,0,89,86,67,56.2,DF
Luka Romero,ARG,Milan,19,2004,1.0,1,0,0,3,2,0,2,0,0,0,0,0,5,1,1,50.0,FW
Marten de Roon,NED,Atalanta,33,1991,26.9,10,0,0,39,24,3,16,37,40,0,0,0,154,34,25,57.6,MF
Nicolò Rovella,ITA,Lazio,22,2001,13.1,5,0,0,31,16,0,19,21,24,0,0,0,89,11,8,57.9,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Amir Rrahmani,KVX,Napoli,30,1994,25.9,5,0,0,17,7,2,4,19,23,0,1,0,129,74,40,64.9,DF
Ruan,BRA,Sassuolo,24,1999,16.2,7,1,1,22,11,0,2,23,14,1,1,0,79,30,27,52.6,DF
Daniele Rugani,ITA,Juventus,29,1994,11.3,2,0,0,11,3,0,1,7,7,0,0,0,41,22,16,57.9,DF
Matteo Ruggeri,ITA,Atalanta,21,2002,24.8,3,0,0,19,9,2,90,22,13,0,1,0,157,45,32,58.4,DF
Mário Rui,POR,Napoli,32,1991,13.4,7,1,1,16,28,1,62,15,15,0,1,0,57,10,27,27.0,DF
Stefano Sabelli,ITA,Genoa,31,1993,25.1,5,0,0,34,32,3,96,23,22,0,0,0,86,14,21,40.0,DF
Alexis Saelemaekers,BEL,Bologna,24,1999,18.7,7,1,1,14,54,1,79,10,20,1,0,0,99,7,6,53.8,FW
Lazar Samardzic,SRB,Udinese,22,2002,22.4,3,0,0,24,14,0,92,10,14,0,0,0,125,14,28,33.3,MF
Junior Sambia,FRA,Salernitana,27,1996,7.7,2,0,0,8,9,0,20,7,3,0,1,0,25,22,10,68.8,DF
Antonio Sanabria,PAR,Torino,28,1996,21.3,2,0,0,20,28,3,6,5,14,0,0,0,61,51,62,45.1,FW
Renato Sanches,POR,Roma,26,1997,1.6,2,0,0,6,3,0,4,0,1,0,1,0,5,1,2,33.3,MF
Alexis Sánchez,CHI,Inter,35,1988,6.9,0,0,0,12,17,5,22,1,5,0,0,0,27,8,13,38.1,FW
Alex Sandro,BRA,Juventus,33,1991,7.2,1,0,0,15,11,0,5,12,6,0,0,0,33,10,9,52.6,DF
Nicola Sansone,ITA,Lecce,32,1991,8.0,3,0,0,15,12,0,20,4,6,0,0,0,36,7,12,36.8,FW
Riccardo Saponara,ITA,Hellas Verona,32,1991,3.8,0,0,0,1,3,2,8,0,1,0,0,0,16,1,5,16.7,FW
Saba Sazonov,GEO,Torino,22,2002,4.0,2,0,0,10,1,0,0,3,7,0,1,0,22,10,10,50.0,DF
Giorgio Scalvini,ITA,Atalanta,20,2003,24.7,3,0,0,45,6,4,4,51,31,0,2,0,147,72,36,66.7,DF
Gianluca Scamacca,ITA,Atalanta,25,1999,12.8,1,0,0,20,22,7,5,2,9,0,0,0,27,19,28,40.4,FW
Perr Schuurs,NED,Torino,24,1999,8.6,2,0,0,8,1,0,2,9,12,0,1,0,49,15,9,62.5,DF
Simone Scuffet,ITA,Cagliari,27,1996,26.0,2,0,0,0,2,0,0,1,0,0,0,0,34,3,0,100.0,GK
Demba Seck,SEN,Torino,23,2001,4.7,1,0,0,9,8,0,2,1,3,0,0,0,22,3,10,23.1,MF
Demba Seck,SEN,Frosinone,23,2001,3.3,0,0,0,9,7,2,2,1,4,0,0,0,9,3,7,30.0,FW
Nikola Sekulov,ITA,Juventus,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,FW
Vivaldo Semedo,POR,Udinese,19,2005,0.1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,,FW
Stefano Sensi,ITA,Inter,28,1995,0.3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Suat Serdar,GER,Hellas Verona,27,1997,14.5,6,0,0,33,14,0,7,17,32,0,0,0,92,18,18,50.0,MF
Stephan El Shaarawy,ITA,Roma,31,1992,17.9,2,0,0,13,25,7,16,12,9,0,0,0,78,7,15,31.8,FW
Eldor Shomurodov,UZB,Cagliari,28,1995,8.0,0,0,0,10,10,2,6,3,4,0,0,0,31,14,32,30.4,FW
Steven Shpendi,ALB,Empoli,20,2003,4.4,0,0,0,12,13,4,0,1,0,0,0,0,13,2,18,10.0,FW
Marco Silvestri,ITA,Udinese,33,1991,17.0,0,0,0,0,1,0,0,0,0,0,0,0,20,2,3,40.0,GK
Giovanni Simeone,ARG,Napoli,28,1995,7.4,3,0,0,10,12,6,5,1,3,1,0,0,17,20,20,50.0,FW
Jan-Carlo Simic,SRB,Milan,18,2005,1.6,0,0,0,2,0,0,0,0,1,0,0,0,4,2,2,50.0,DF
Leo Skiri Østigård,NOR,Napoli,24,1999,15.1,3,0,0,10,8,1,1,14,10,0,0,0,71,46,19,70.8,DF
Łukasz Skorupski,POL,Bologna,32,1991,30.0,2,0,0,0,4,0,0,0,2,0,0,0,31,1,2,33.3,GK
Chris Smalling,ENG,Roma,34,1989,4.3,0,0,0,1,3,0,0,5,1,0,0,0,22,22,7,75.9,DF
Andrea Sodero,ITA,Empoli,19,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,MF
Ola Solbakken,NOR,Roma,25,1998,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,FW
Yann Sommer,SUI,Inter,35,1988,32.0,1,0,0,1,1,0,0,0,1,0,1,0,40,2,0,100.0,GK
Brandon Soppy,FRA,Torino,22,2002,2.0,0,0,0,4,6,0,3,0,2,0,0,0,14,0,1,0.0,DF
Alessandro Sorrentino,ITA,Monza,22,2002,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,GK
Riccardo Sottil,ITA,Fiorentina,24,1999,12.3,1,0,0,8,34,6,46,2,5,0,0,0,44,7,3,70.0,FW
Matìas Soulé,ARG,Frosinone,21,2003,30.8,3,0,0,17,39,1,85,15,24,0,1,1,161,10,36,21.7,FW
Djed Spence,ENG,Genoa,23,2000,6.4,1,0,0,6,5,1,9,6,6,0,0,0,34,7,11,38.9,DF
Leonardo Spinazzola,ITA,Roma,31,1993,14.6,0,0,0,8,6,1,84,3,7,0,0,0,74,6,6,50.0,DF
Marco Sportiello,ITA,Milan,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,GK
Trivante Stewart,JAM,Salernitana,24,2000,1.1,0,0,0,1,0,0,2,0,0,0,0,0,3,2,6,25.0,FW
Gabriel Strefezza,BRA,Lecce,27,1997,12.4,4,0,0,20,37,3,42,7,17,0,0,0,51,4,14,22.2,FW
Kevin Strootman,NED,Genoa,34,1990,12.0,4,0,0,15,6,0,20,4,18,0,0,0,64,6,10,37.5,MF
Isaac Success,NGA,Udinese,28,1996,8.6,4,0,0,25,31,1,2,1,4,0,0,0,22,26,26,50.0,FW
Ibrahim Sulemana,GHA,Cagliari,20,2003,12.2,3,0,0,17,10,1,13,7,13,0,0,0,75,8,9,47.1,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Tomáš Suslov,SVK,Hellas Verona,21,2002,20.9,6,0,0,37,52,1,65,5,25,0,0,0,93,5,11,31.3,MF
Mile Svilar,SRB,Roma,24,1999,11.0,1,0,0,0,2,0,0,0,0,0,0,0,11,2,0,100.0,GK
Karol Świderski,POL,Hellas Verona,27,1997,4.7,0,0,0,5,12,0,2,1,3,0,0,0,17,7,18,28.0,FW
Wojciech Szczęsny,POL,Juventus,34,1990,32.0,1,0,0,1,2,0,0,1,0,0,1,0,37,2,0,100.0,GK
Przemysław Szymiński,POL,Frosinone,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,MF
Adrien Tameze,CMR,Torino,30,1994,21.1,6,1,0,17,13,0,13,44,15,0,0,0,127,26,35,42.6,DF
Elayis Tavsan,NED,Hellas Verona,22,2001,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,MF
Loum Tchaouna,FRA,Salernitana,20,2003,19.3,3,0,0,11,24,5,64,4,7,0,0,0,61,18,44,29.0,FW
Jackson Tchatchoua,BEL,Hellas Verona,22,2001,16.9,2,0,0,14,7,1,58,22,23,0,1,0,73,10,11,47.6,DF
Filippo Terracciano,ITA,Hellas Verona,21,2003,14.4,1,0,0,15,32,0,59,20,19,0,0,0,74,19,18,51.4,DF
Filippo Terracciano,ITA,Milan,21,2003,0.1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,,DF
Pietro Terracciano,ITA,Fiorentina,34,1990,30.0,3,0,0,2,2,0,0,0,1,0,2,0,40,1,0,100.0,GK
Florian Thauvin,FRA,Udinese,31,1993,19.0,4,0,0,14,26,6,79,3,4,0,0,0,64,10,26,27.8,FW
Malick Thiaw,GER,Milan,22,2001,15.9,5,1,0,25,7,0,0,12,17,0,1,0,70,31,20,60.8,DF
Morten Thorsby,NOR,Genoa,27,1996,8.6,1,0,0,21,6,3,7,4,9,0,0,0,30,46,39,54.1,MF
Kristian Thorstvedt,NOR,Sassuolo,25,1999,23.6,6,0,0,32,33,1,14,20,19,0,0,0,97,44,58,43.1,MF
Marcus Thuram,FRA,Inter,26,1997,26.9,3,0,0,32,41,19,18,4,15,5,0,0,57,62,40,60.8,FW
Antonio Tikvić,CRO,Udinese,20,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DF
Jeremy Toljan,GER,Sassuolo,29,1994,21.0,1,0,0,10,6,0,46,15,10,1,1,0,95,8,13,38.1,DF
Rafael Tolói,ITA,Atalanta,33,1990,7.9,5,1,1,12,3,0,5,9,5,0,0,0,46,14,10,58.3,DF
Fikayo Tomori,ENG,Milan,26,1997,20.1,7,1,1,21,9,1,2,23,21,0,0,0,95,22,20,52.4,DF
Ahmed Touba,ALG,Lecce,26,1998,3.1,1,0,0,6,1,0,0,7,4,0,0,0,16,5,6,45.5,DF
Chaka Traorè,CIV,Milan,19,2004,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,FW
Stefano Turati,ITA,Frosinone,22,2001,30.5,0,0,0,0,3,0,0,0,0,0,0,0,34,2,1,66.7,GK
Kacper Urbanski,POL,Bologna,19,2004,8.4,2,0,0,10,10,3,17,3,9,0,0,0,27,17,9,65.4,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Emanuele Valeri,ITA,Frosinone,25,1998,9.1,2,0,0,9,3,0,54,6,13,1,0,0,45,6,6,50.0,DF
Johan Vásquez,MEX,Genoa,25,1998,26.9,5,0,0,30,34,2,28,38,30,0,1,0,88,61,48,56.0,DF
Matías Vecino,URU,Lazio,32,1991,10.7,7,0,0,26,7,2,5,10,15,0,0,0,59,31,30,50.8,MF
Lorenzo Venuti,ITA,Lecce,29,1995,3.4,1,0,0,4,1,0,7,5,3,0,1,0,18,2,3,40.0,DF
Simone Verdi,ITA,Torino,31,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FW
Emanuel Vignato,ITA,Salernitana,23,2000,1.6,1,0,0,2,0,1,1,0,1,0,0,0,3,0,2,0.0,MF
Samuele Vignato,ITA,Monza,20,2004,3.8,2,0,0,4,4,1,8,1,4,0,0,0,13,1,5,16.7,MF
Matías Viña,URU,Sassuolo,26,1997,11.3,1,0,0,12,9,0,29,9,21,0,0,2,45,11,15,42.3,DF
Rúben Vinagre,POR,Hellas Verona,25,1999,1.3,0,0,0,3,1,0,9,1,0,0,0,0,5,1,0,100.0,FW
Nicolas Viola,ITA,Cagliari,34,1989,12.1,3,0,0,16,21,2,121,2,9,0,1,0,46,16,29,35.6,MF
Mattia Viti,ITA,Sassuolo,22,2002,9.9,0,0,0,9,14,0,1,7,15,0,1,1,42,12,10,54.5,DF
Vitinha,POR,Genoa,24,2000,2.1,2,0,0,7,4,2,6,0,2,0,0,0,9,7,10,41.2,FW
Dušan Vlahović,SRB,Juventus,24,2000,23.1,7,1,1,27,32,13,6,1,5,0,0,0,56,36,50,41.9,FW
Nikola Vlašić,CRO,Torino,26,1997,28.7,3,0,0,26,35,9,37,11,16,0,0,0,151,25,37,40.3,MF
Alessandro Vogliacco,ITA,Genoa,25,1998,8.7,4,0,0,9,2,0,5,23,10,0,0,0,39,20,14,58.8,DF
Mërgim Vojvoda,KVX,Torino,29,1995,12.4,2,0,0,9,3,3,56,11,5,0,0,0,54,4,7,36.4,DF
Cristian Volpato,ITA,Sassuolo,20,2003,6.1,0,0,0,14,6,1,43,1,8,0,0,0,38,6,5,54.5,MF
Stefan de Vrij,NED,Inter,32,1992,15.6,0,0,0,8,1,0,0,23,12,0,0,0,74,42,23,64.6,DF
Walace,BRA,Udinese,29,1995,32.0,7,0,0,39,43,0,8,37,40,0,0,0,244,24,16,60.0,MF
Sebastian Walukiewicz,POL,Empoli,24,2000,22.0,6,0,0,21,7,2,0,15,27,0,2,0,81,38,45,45.8,DF
Timothy Weah,USA,Juventus,24,2000,11.8,4,0,0,12,8,2,31,5,20,0,0,0,53,10,12,45.5,DF
Shon Weissman,ISR,Salernitana,28,1996,4.3,0,0,0,2,8,0,0,3,3,0,0,0,11,3,9,25.0,FW
Mateusz Wieteska,POL,Cagliari,27,1997,9.2,5,1,1,11,6,0,4,14,10,0,0,0,42,22,14,61.1,DF
Kenan Yıldız,TUR,Juventus,18,2005,9.1,2,0,0,10,16,1,14,0,8,0,0,0,32,16,20,44.4,FW
Mattia Zaccagni,ITA,Lazio,28,1995,18.8,6,0,0,25,68,7,56,20,16,1,0,0,72,11,12,47.8,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Nicola Zalewski,POL,Roma,22,2002,9.4,3,1,1,14,24,1,34,8,14,0,0,0,43,7,8,46.7,DF
Andre-Frank Zambo Anguissa,CMR,Napoli,28,1995,27.1,2,0,0,32,33,3,19,25,30,0,0,0,156,42,40,51.2,MF
Alessandro Zanoli,ITA,Salernitana,23,2000,7.1,2,0,0,4,2,1,27,1,9,0,0,1,17,6,8,42.9,DF
Alessandro Zanoli,ITA,Napoli,23,2000,0.6,1,0,0,3,0,0,2,1,1,0,0,0,2,0,2,0.0,DF
Duván Zapata,COL,Torino,33,1991,28.5,2,0,0,46,56,20,48,6,6,0,0,0,75,113,106,51.6,FW
Duván Zapata,COL,Atalanta,33,1991,1.2,0,0,0,1,4,1,6,0,0,0,0,0,6,5,5,50.0,FW
Gabriele Zappa,ITA,Cagliari,24,1999,24.5,2,0,0,20,13,0,63,19,27,0,0,0,89,15,26,36.6,DF
Davide Zappacosta,ITA,Atalanta,31,1992,17.9,5,0,0,19,15,2,69,5,17,0,0,0,87,8,11,42.1,DF
Oier Zarraga,ESP,Udinese,25,1999,3.4,0,0,0,2,2,0,3,5,2,0,0,0,11,2,3,40.0,MF
Jordan Zemura,ZIM,Udinese,24,1999,11.4,1,0,0,15,15,0,21,13,16,0,0,0,40,9,10,47.4,DF
Alessio Zerbin,ITA,Monza,25,1999,5.0,0,0,0,9,11,0,21,3,7,0,0,0,30,1,7,12.5,FW
Alessio Zerbin,ITA,Napoli,25,1999,1.7,0,0,0,7,4,0,7,0,2,0,0,0,6,1,1,50.0,FW
Kevin Zeroli,ITA,Milan,19,2005,0.3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,50.0,MF
Piotr Zieliński,POL,Napoli,29,1994,21.4,1,0,0,15,18,0,89,9,15,0,0,0,87,6,11,35.3,MF
David Zima,CZE,Torino,23,2000,1.0,0,0,0,0,1,0,0,3,1,0,0,0,6,2,5,28.6,DF
Joshua Zirkzee,NED,Bologna,22,2001,29.0,8,0,0,26,26,5,8,3,20,0,0,0,98,28,37,43.1,FW
Nadir Zortea,ITA,Frosinone,24,1999,10.0,3,0,0,13,13,0,54,4,13,0,0,0,34,9,16,36.0,DF
Nadir Zortea,ITA,Atalanta,24,1999,1.7,1,0,0,4,2,0,12,1,4,0,0,0,4,0,2,0.0,DF
Szymon Żurkowski,POL,Empoli,26,1997,9.4,3,0,0,18,17,2,5,6,6,0,0,0,37,6,17,26.1,MF
Milan Đurić,BIH,Hellas Verona,33,1990,13.4,2,0,0,26,19,6,1,1,0,0,0,0,25,135,43,75.8,FW
Milan Đurić,BIH,Monza,33,1990,10.5,2,0,0,20,22,1,0,0,5,0,0,0,25,60,34,63.8,FW
Mateusz Łęgowski,POL,Salernitana,21,2003,12.1,3,0,0,22,10,2,6,7,11,0,0,0,60,13,16,44.8,MF
