Sett.,Giorno,Data,Ora,Casa,xG,Punteggio,xG,Ospiti,Spettatori,Stadio,Arbitro,Report partita,Note
1,Sab,19-09-2020,18:00,Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Report partita,
1,Sab,19-09-2020,20:45,Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Report partita,Partita assegnata a Hellas Verona
1,Dom,20-09-2020,12:30,Parma,0.2,0–2,1.6,Napoli,1.000,Stadio Ennio Tardini,Maurizio Mariani,Report partita,
1,Dom,20-09-2020,15:00,Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Report partita,
1,Dom,20-09-2020,18:00,Sassuolo,2.3,1–1,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,Report partita,
1,Dom,20-09-2020,20:45,Juventus,2.4,3–0,0.8,Sampdoria,1.000,Allianz Stadium,Marco Piccinini,Report partita,
1,Lun,21-09-2020,20:45,Milan,2.9,2–0,0.9,Bologna,1.000,Stadio Giuseppe Meazza,Federico La Penna,Report partita,
,,,,,,,,,,,,,
2,Sab,26-09-2020,15:00,Torino,0.7,2–4,1.6,Atalanta,1.000,Stadio Olimpico di Torino,Massimiliano Irrati,Report partita,
2,Sab,26-09-2020,18:00,Cagliari,1.0,0–2,2.1,Lazio,1.000,Sardegna Arena,Davide Massa,Report partita,
2,Sab,26-09-2020,18:00,Sampdoria,1.6,2–3,1.2,Benevento,1.000,Stadio Comunale Luigi Ferraris,Federico Dionisi,Report partita,
2,Sab,26-09-2020,20:45,Inter,2.8,4–3,2.5,Fiorentina,1.000,Stadio Giuseppe Meazza,Giampaolo Calvarese,Report partita,
2,Dom,27-09-2020,12:30,Spezia,1.1,1–4,2.8,Sassuolo,1.000,Stadio Dino Manuzzi,Davide Ghersini,Report partita,
2,Dom,27-09-2020,15:00,Hellas Verona,1.0,1–0,1.7,Udinese,1.000,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Report partita,
2,Dom,27-09-2020,18:00,Crotone,0.3,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Report partita,
2,Dom,27-09-2020,18:00,Napoli,2.4,6–0,0.6,Genoa,1.000,Stadio San Paolo,Juan Sacchi,Report partita,
2,Dom,27-09-2020,20:45,Roma,2.7,2–2,1.3,Juventus,1.000,Stadio Olimpico,Marco Di Bello,Report partita,
2,Lun,28-09-2020,20:45,Bologna,2.2,4–1,1.0,Parma,1.000,Stadio Renato Dall'Ara,Paolo Valeri,Report partita,
,,,,,,,,,,,,,
1,Mer,30-09-2020,18:00,Benevento,1.5,2–5,3.5,Inter,1.000,Stadio Ciro Vigorito,Marco Piccinini,Report partita,
1,Mer,30-09-2020,18:00,Udinese,2.1,0–2,0.7,Spezia,1.000,Dacia Arena,Alessandro Prontera,Report partita,
1,Mer,30-09-2020,20:45,Lazio,2.6,1–4,1.7,Atalanta,1.000,Stadio Olimpico,Fabio Maresca,Report partita,
,,,,,,,,,,,,,
3,Ven,02-10-2020,20:45,Fiorentina,2.1,1–2,2.4,Sampdoria,1.000,Stadio Artemio Franchi,Piero Giacomelli,Report partita,
3,Sab,03-10-2020,15:00,Sassuolo,1.7,4–1,1.8,Crotone,1.000,Stadio Città del Tricolore,Ivan Pezzuto,Report partita,
3,Sab,03-10-2020,20:45,Udinese,0.9,0–1,0.8,Roma,1.000,Dacia Arena,Rosario Abisso,Report partita,
3,Dom,04-10-2020,12:30,Atalanta,3.5,5–2,1.0,Cagliari,1.000,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Report partita,
3,Dom,04-10-2020,15:00,Benevento,0.9,1–0,1.8,Bologna,1.000,Stadio Ciro Vigorito,Simone Sozza,Report partita,
3,Dom,04-10-2020,15:00,Lazio,1.3,1–1,0.9,Inter,1.000,Stadio Olimpico,Marco Guida,Report partita,
3,Dom,04-10-2020,15:00,Parma,1.6,1–0,0.5,Hellas Verona,1.000,Stadio Ennio Tardini,Antonio Giua,Report partita,
3,Dom,04-10-2020,18:00,Milan,2.0,3–0,0.2,Spezia,1.000,Stadio Giuseppe Meazza,Marco Serra,Report partita,
,,,,,,,,,,,,,
4,Sab,17-10-2020,15:00,Napoli,1.7,4–1,1.0,Atalanta,1.000,Stadio San Paolo,Marco Di Bello,Report partita,
4,Sab,17-10-2020,18:00,Sampdoria,1.3,3–0,0.6,Lazio,1.000,Stadio Comunale Luigi Ferraris,Daniele Orsato,Report partita,
4,Sab,17-10-2020,18:00,Inter,2.4,1–2,2.3,Milan,1.000,Stadio Giuseppe Meazza,Maurizio Mariani,Report partita,
4,Sab,17-10-2020,20:45,Crotone,1.1,1–1,1.6,Juventus,1.000,Stadio Ezio Scida,Francesco Fourneau,Report partita,
4,Dom,18-10-2020,12:30,Bologna,1.4,3–4,2.8,Sassuolo,1.000,Stadio Renato Dall'Ara,Daniele Doveri,Report partita,
4,Dom,18-10-2020,15:00,Spezia,1.1,2–2,1.4,Fiorentina,1.000,Stadio Dino Manuzzi,Gianluca Manganiello,Report partita,
4,Dom,18-10-2020,15:00,Torino,1.7,2–3,2.1,Cagliari,1.000,Stadio Olimpico di Torino,Federico La Penna,Report partita,
4,Dom,18-10-2020,18:00,Udinese,1.3,3–2,1.0,Parma,1.000,Dacia Arena,Michael Fabbri,Report partita,
4,Dom,18-10-2020,20:45,Roma,4.4,5–2,1.8,Benevento,1.000,Stadio Olimpico,Giovanni Ayroldi,Report partita,
4,Lun,19-10-2020,20:45,Hellas Verona,1.4,0–0,0.4,Genoa,10.002,Stadio Marc'Antonio Bentegodi,Antonio Rapuano,Report partita,
,,,,,,,,,,,,,
5,Ven,23-10-2020,20:45,Sassuolo,2.0,3–3,2.1,Torino,700,Stadio Città del Tricolore,Marco Guida,Report partita,
5,Sab,24-10-2020,15:00,Atalanta,2.1,1–3,1.9,Sampdoria,1.000,Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese,Report partita,
5,Sab,24-10-2020,18:00,Genoa,0.0,0–2,1.8,Inter,1.000,Stadio Comunale Luigi Ferraris,Davide Massa,Report partita,
5,Sab,24-10-2020,20:45,Lazio,1.0,2–1,1.5,Bologna,1.000,Stadio Olimpico,Massimiliano Irrati,Report partita,
5,Dom,25-10-2020,12:30,Cagliari,2.4,4–2,1.6,Crotone,1.000,Sardegna Arena,Antonio Di Martino,Report partita,
5,Dom,25-10-2020,15:00,Parma,3.2,2–2,0.9,Spezia,1.000,Stadio Ennio Tardini,Valerio Marini,Report partita,
5,Dom,25-10-2020,15:00,Benevento,0.5,1–2,2.1,Napoli,1.000,Stadio Ciro Vigorito,Daniele Doveri,Report partita,
5,Dom,25-10-2020,18:00,Fiorentina,1.2,3–2,1.8,Udinese,1.000,Stadio Artemio Franchi,Francesco Fourneau,Report partita,
5,Dom,25-10-2020,20:45,Juventus,1.8,1–1,0.7,Hellas Verona,1.000,Allianz Stadium,Fabrizio Pasqua,Report partita,
5,Lun,26-10-2020,20:45,Milan,2.6,3–3,2.3,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,Report partita,
,,,,,,,,,,,,,
6,Sab,31-10-2020,15:00,Crotone,0.4,1–2,2.6,Atalanta,,Stadio Ezio Scida,Federico Dionisi,Report partita,
6,Sab,31-10-2020,18:00,Inter,2.5,2–2,0.7,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,Report partita,
6,Sab,31-10-2020,20:45,Bologna,1.4,3–2,0.6,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,Report partita,
6,Dom,01-11-2020,12:30,Udinese,1.1,1–2,1.1,Milan,,Dacia Arena,Marco Di Bello,Report partita,
6,Dom,01-11-2020,15:00,Torino,2.8,3–4,1.4,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,Report partita,
6,Dom,01-11-2020,15:00,Spezia,0.7,1–4,3.4,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,Report partita,
6,Dom,01-11-2020,18:00,Napoli,2.3,0–2,1.4,Sassuolo,,Stadio San Paolo,Maurizio Mariani,Report partita,
6,Dom,01-11-2020,18:00,Roma,3.0,2–0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,Report partita,
6,Dom,01-11-2020,20:45,Sampdoria,0.7,1–1,0.6,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,Report partita,
6,Lun,02-11-2020,20:45,Hellas Verona,1.7,3–1,1.6,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Report partita,
,,,,,,,,,,,,,
3,Mer,04-11-2020,17:00,Genoa,1.1,1–2,0.6,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Report partita,
,,,,,,,,,,,,,
7,Ven,06-11-2020,20:45,Sassuolo,0.1,0–0,0.1,Udinese,,Stadio Città del Tricolore,Eugenio Abbattista,Report partita,
7,Sab,07-11-2020,15:00,Cagliari,2.1,2–0,0.1,Sampdoria,,Sardegna Arena,Giovanni Ayroldi,Report partita,
7,Sab,07-11-2020,18:00,Benevento,0.3,0–3,0.9,Spezia,,Stadio Ciro Vigorito,Gianluca Aureliano,Report partita,
7,Sab,07-11-2020,20:45,Parma,0.1,0–0,0.7,Fiorentina,,Stadio Ennio Tardini,Federico La Penna,Report partita,
7,Dom,08-11-2020,12:30,Lazio,0.9,1–1,1.2,Juventus,,Stadio Olimpico,Davide Massa,Report partita,
7,Dom,08-11-2020,15:00,Genoa,0.6,1–3,2.0,Roma,,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Report partita,
7,Dom,08-11-2020,15:00,Atalanta,0.8,1–1,1.0,Inter,,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Report partita,
7,Dom,08-11-2020,15:00,Torino,0.2,0–0,0.3,Crotone,,Stadio Olimpico di Torino,Francesco Fourneau,Report partita,
7,Dom,08-11-2020,18:00,Bologna,0.8,0–1,1.2,Napoli,,Stadio Renato Dall'Ara,Fabrizio Pasqua,Report partita,
7,Dom,08-11-2020,20:45,Milan,3.3,2–2,1.5,Hellas Verona,,Stadio Giuseppe Meazza,Marco Guida,Report partita,
,,,,,,,,,,,,,
8,Sab,21-11-2020,15:00,Crotone,0.6,0–2,1.8,Lazio,,Stadio Ezio Scida,Juan Sacchi,Report partita,
8,Sab,21-11-2020,18:00,Spezia,0.5,0–0,1.2,Atalanta,,Stadio Dino Manuzzi,Antonio Rapuano,Report partita,
8,Sab,21-11-2020,20:45,Juventus,2.1,2–0,0.1,Cagliari,,Allianz Stadium,Fabio Maresca,Report partita,
8,Dom,22-11-2020,12:30,Fiorentina,0.8,0–1,0.7,Benevento,,Stadio Artemio Franchi,Davide Ghersini,Report partita,
8,Dom,22-11-2020,15:00,Inter,3.6,4–2,1.9,Torino,,Stadio Giuseppe Meazza,Federico La Penna,Report partita,
8,Dom,22-11-2020,15:00,Sampdoria,0.7,1–2,1.7,Bologna,,Stadio Comunale Luigi Ferraris,Livio Marinelli,Report partita,
8,Dom,22-11-2020,15:00,Hellas Verona,1.2,0–2,0.5,Sassuolo,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Report partita,
8,Dom,22-11-2020,15:00,Roma,2.8,3–0,0.0,Parma,,Stadio Olimpico,Gianluca Manganiello,Report partita,
8,Dom,22-11-2020,18:00,Udinese,0.5,1–0,1.0,Genoa,,Dacia Arena,Giampaolo Calvarese,Report partita,
8,Dom,22-11-2020,20:45,Napoli,1.7,1–3,2.6,Milan,,Stadio San Paolo,Paolo Valeri,Report partita,
,,,,,,,,,,,,,
9,Sab,28-11-2020,15:00,Sassuolo,0.7,0–3,1.2,Inter,,Stadio Città del Tricolore,Massimiliano Irrati,Report partita,
9,Sab,28-11-2020,18:00,Benevento,0.4,1–1,1.6,Juventus,,Stadio Ciro Vigorito,Fabrizio Pasqua,Report partita,
9,Sab,28-11-2020,20:45,Atalanta,1.8,0–2,1.7,Hellas Verona,,Stadio Atleti Azzurri d'Italia,Davide Massa,Report partita,
9,Dom,29-11-2020,12:30,Lazio,1.3,1–3,1.1,Udinese,,Stadio Olimpico,Gianluca Aureliano,Report partita,
9,Dom,29-11-2020,15:00,Bologna,1.5,1–0,0.4,Crotone,,Stadio Renato Dall'Ara,Marco Serra,Report partita,
9,Dom,29-11-2020,15:00,Milan,2.6,2–0,0.3,Fiorentina,,Stadio Giuseppe Meazza,Rosario Abisso,Report partita,
9,Dom,29-11-2020,18:00,Cagliari,2.3,2–2,2.8,Spezia,,Sardegna Arena,Valerio Marini,Report partita,
9,Dom,29-11-2020,20:45,Napoli,1.9,4–0,0.3,Roma,,Stadio San Paolo,Marco Di Bello,Report partita,
9,Lun,30-11-2020,18:30,Torino,1.6,2–2,1.1,Sampdoria,,Stadio Olimpico di Torino,Daniele Doveri,Report partita,
9,Lun,30-11-2020,20:45,Genoa,1.4,1–2,1.1,Parma,,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Report partita,
,,,,,,,,,,,,,
10,Sab,05-12-2020,15:00,Spezia,1.7,1–2,0.3,Lazio,,Stadio Dino Manuzzi,Daniele Chiffi,Report partita,
10,Sab,05-12-2020,18:00,Juventus,1.6,2–1,0.8,Torino,,Allianz Stadium,Daniele Orsato,Report partita,
10,Sab,05-12-2020,20:45,Inter,1.5,3–1,1.3,Bologna,,Stadio Giuseppe Meazza,Paolo Valeri,Report partita,
10,Dom,06-12-2020,12:30,Hellas Verona,2.8,1–1,1.2,Cagliari,,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Report partita,
10,Dom,06-12-2020,15:00,Roma,1.2,0–0,0.4,Sassuolo,,Stadio Olimpico,Fabio Maresca,Report partita,
10,Dom,06-12-2020,15:00,Parma,0.4,0–0,0.3,Benevento,,Stadio Ennio Tardini,Juan Sacchi,Report partita,
10,Dom,06-12-2020,18:00,Crotone,0.5,0–4,2.2,Napoli,,Stadio Ezio Scida,Livio Marinelli,Report partita,
10,Dom,06-12-2020,20:45,Sampdoria,1.1,1–2,2.5,Milan,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Report partita,
10,Lun,07-12-2020,20:45,Fiorentina,2.7,1–1,1.2,Genoa,,Stadio Artemio Franchi,Daniele Doveri,Report partita,
,,,,,,,,,,,,,
11,Ven,11-12-2020,20:45,Sassuolo,1.0,1–0,2.5,Benevento,,Stadio Città del Tricolore,Simone Sozza,Report partita,
11,Sab,12-12-2020,15:00,Crotone,2.2,4–1,1.2,Spezia,,Stadio Ezio Scida,Antonio Giua,Report partita,
11,Sab,12-12-2020,18:00,Torino,1.0,2–3,1.2,Udinese,,Stadio Olimpico di Torino,Davide Massa,Report partita,
11,Sab,12-12-2020,20:45,Lazio,1.0,1–2,1.2,Hellas Verona,,Stadio Olimpico,Rosario Abisso,Report partita,
11,Dom,13-12-2020,12:45,Cagliari,1.6,1–3,3.5,Inter,,Sardegna Arena,Fabrizio Pasqua,Report partita,
11,Dom,13-12-2020,15:00,Bologna,0.7,1–5,3.4,Roma,,Stadio Renato Dall'Ara,Giampaolo Calvarese,Report partita,
11,Dom,13-12-2020,15:00,Atalanta,2.6,3–0,0.4,Fiorentina,,Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Report partita,
11,Dom,13-12-2020,15:00,Napoli,1.1,2–1,1.1,Sampdoria,,Stadio San Paolo,Federico La Penna,Report partita,
11,Dom,13-12-2020,18:00,Genoa,0.2,1–3,2.6,Juventus,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Report partita,
11,Dom,13-12-2020,20:45,Milan,1.8,2–2,0.6,Parma,,Stadio Giuseppe Meazza,Francesco Fourneau,Report partita,
,,,,,,,,,,,,,
12,Mar,15-12-2020,18:30,Udinese,1.1,0–0,0.2,Crotone,,Dacia Arena,Antonio Di Martino,Report partita,
12,Mar,15-12-2020,20:45,Benevento,1.4,1–1,0.8,Lazio,,Stadio Ciro Vigorito,Luca Pairetto,Report partita,
12,Mer,16-12-2020,18:30,Juventus,2.7,1–1,1.1,Atalanta,,Allianz Stadium,Daniele Doveri,Report partita,
12,Mer,16-12-2020,20:45,Inter,1.1,1–0,1.7,Napoli,,Stadio Giuseppe Meazza,Davide Massa,Report partita,
12,Mer,16-12-2020,20:45,Hellas Verona,1.4,1–2,0.7,Sampdoria,,Stadio Marc'Antonio Bentegodi,Riccardo Ros,Report partita,
12,Mer,16-12-2020,20:45,Spezia,3.7,2–2,2.0,Bologna,,Stadio Dino Manuzzi,Piero Giacomelli,Report partita,
12,Mer,16-12-2020,20:45,Parma,1.0,0–0,0.3,Cagliari,,Stadio Ennio Tardini,Ivan Pezzuto,Report partita,
12,Mer,16-12-2020,20:45,Fiorentina,2.0,1–1,1.1,Sassuolo,,Stadio Artemio Franchi,Paolo Valeri,Report partita,
12,Mer,16-12-2020,20:45,Genoa,1.2,2–2,1.5,Milan,,Stadio Comunale Luigi Ferraris,Daniele Orsato,Report partita,
12,Gio,17-12-2020,20:45,Roma,2.6,3–1,1.5,Torino,,Stadio Olimpico,Rosario Abisso,Report partita,
,,,,,,,,,,,,,
13,Sab,19-12-2020,15:00,Fiorentina,1.2,1–1,1.1,Hellas Verona,,Stadio Artemio Franchi,Francesco Fourneau,Report partita,
13,Sab,19-12-2020,18:00,Sampdoria,1.9,3–1,0.9,Crotone,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Report partita,
13,Sab,19-12-2020,20:45,Parma,0.7,0–4,2.5,Juventus,,Stadio Ennio Tardini,Giampaolo Calvarese,Report partita,
13,Dom,20-12-2020,12:30,Torino,0.9,1–1,1.6,Bologna,,Stadio Olimpico di Torino,Fabrizio Pasqua,Report partita,
13,Dom,20-12-2020,15:00,Sassuolo,0.9,1–2,1.5,Milan,,Stadio Città del Tricolore,Maurizio Mariani,Report partita,
13,Dom,20-12-2020,15:00,Inter,1.8,2–1,0.8,Spezia,,Stadio Giuseppe Meazza,Michael Fabbri,Report partita,
